runs	nb_step	PROINPA_MST.Satisfaction	PROINPA_MST.Influence	PROINPA_MST.Aim	SEEDS_PROD.Satisfaction	SEEDS_PROD.Influence	SEEDS_PROD.Aim	SEEDS_IMP.Satisfaction	SEEDS_IMP.Influence	SEEDS_IMP.Aim	POTAT_PROD.Satisfaction	POTAT_PROD.Influence	POTAT_PROD.Aim	STATE.Satisfaction	STATE.Influence	STATE.Aim	MAFIA_MARKET.Satisfaction	MAFIA_MARKET.Influence	MAFIA_MARKET.Aim	PREBASIC_S.State	CERTIFIED_S.State	IMPORTED_S.State	POTATOES.State	RECYCLED_S.State	SUPPORT_N.State	MANIPUL_M.State
82	14882.0	3.21	44.81	3.21	20.66	42.57	20.66	60.05	39.9	60.05	49.92	85.43	49.92	73.55	9.09	73.55	40.28	27.32	40.28	10.0	0.2	10.0	4.4	6.3	-2.9	9.4
83	13630.0	0.85	44.81	0.85	19.43	41.3	19.43	60.91	39.9	60.91	47.68	93.67	47.68	71.56	-1.76	71.56	46.33	27.99	46.33	10.0	-0.1	10.0	3.8	3.6	-5.0	9.6
84	13786.0	8.11	38.57	8.11	27.87	43.72	27.87	56.19	38.95	56.19	50.0	96.88	50.0	76.24	17.62	76.24	43.99	27.99	43.99	7.8	0.5	8.3	5.7	2.8	-1.5	9.6
85	12610.0	-3.36	39.14	-3.36	17.44	47.52	17.44	60.48	39.9	60.48	47.49	98.22	47.49	72.18	-11.47	72.18	45.23	27.66	45.23	8.0	2.0	10.0	4.2	2.3	-7.2	9.5
86	42345.0	10.45	40.8	10.45	23.54	26.05	23.54	58.51	39.9	58.51	51.86	99.84	51.86	66.69	22.09	66.69	49.6	29.3	49.6	8.6	-2.6	10.0	4.2	1.6	-0.8	10.0
87	12641.0	10.02	44.81	10.02	25.71	48.14	25.71	57.29	39.18	57.29	51.93	97.05	51.93	76.16	7.39	76.16	45.29	29.3	45.29	10.0	2.7	9.6	3.8	2.4	-3.2	10.0
88	18459.0	2.54	39.98	2.54	21.46	47.52	21.46	58.7	39.9	58.7	49.63	98.52	49.63	74.77	1.6	74.77	44.12	25.31	44.12	8.3	2.0	10.0	4.1	2.1	-4.3	8.8
89	20012.0	11.67	44.81	11.67	27.88	42.16	27.88	56.82	39.18	56.82	52.0	96.64	52.0	72.09	19.53	72.09	47.97	27.99	47.97	10.0	0.1	9.6	4.2	2.9	-1.2	9.6
90	16572.0	0.33	44.81	0.33	18.62	44.74	18.62	59.3	39.9	59.3	45.07	96.92	45.07	63.61	-18.14	63.61	49.29	29.3	49.29	10.0	0.8	10.0	3.4	1.9	-8.7	10.0
91	16282.0	14.24	42.66	14.24	26.64	48.12	26.64	54.52	39.9	54.52	54.6	98.97	54.6	76.37	9.09	76.37	44.76	29.3	44.76	9.3	3.3	10.0	3.9	1.7	-2.9	10.0
92	18110.0	14.14	44.81	14.14	30.29	41.73	30.29	57.85	39.9	57.85	51.79	101.11	51.79	75.92	18.25	75.92	43.31	29.3	43.31	10.0	0.0	10.0	5.0	1.3	-1.4	10.0
93	17862.0	11.11	44.81	11.11	27.88	38.39	27.88	57.44	39.17	57.44	50.59	94.57	50.59	73.96	16.98	73.96	43.96	29.3	43.96	10.0	-0.7	9.2	4.7	3.8	-1.6	10.0
94	29356.0	-0.53	44.81	-0.53	18.22	45.63	18.22	59.98	39.9	59.98	47.13	90.75	47.13	68.9	-8.87	68.9	48.12	29.3	48.12	10.0	1.1	10.0	3.1	3.7	-6.6	10.0
95	18235.0	16.71	44.81	16.71	31.33	42.97	31.33	56.55	39.9	56.55	49.93	103.27	49.93	76.18	10.84	76.18	43.27	29.3	43.27	10.0	0.3	10.0	5.2	-0.3	-2.6	10.0
96	13822.0	8.9	43.99	8.9	25.69	43.35	25.69	58.68	39.9	58.68	50.37	99.43	50.37	73.61	8.52	73.61	45.4	25.99	45.4	9.8	0.4	10.0	4.1	1.7	-3.0	9.0
97	12340.0	13.49	44.81	13.49	28.12	48.14	28.12	55.23	39.18	55.23	53.77	97.54	53.77	74.91	10.25	74.91	46.54	29.3	46.54	10.0	2.7	9.5	3.8	2.2	-2.7	10.0
98	16001.0	7.14	44.81	7.14	23.67	46.62	23.67	57.98	39.59	57.98	47.54	100.57	47.54	74.0	-2.68	74.0	46.42	29.3	46.42	10.0	1.5	9.9	4.4	1.4	-5.2	10.0
99	16914.0	7.35	42.66	7.35	23.84	47.77	23.84	57.06	39.18	57.06	49.13	101.79	49.13	75.45	1.11	75.45	47.1	29.3	47.1	9.3	2.2	9.4	4.5	0.8	-4.4	10.0
